@RELATION pokemonNew

@ATTRIBUTE Pokemon NUMERIC
@ATTRIBUTE Tipo1 NUMERIC 
@ATTRIBUTE Tipo2 NUMERIC 
@ATTRIBUTE Ability1 STRING
@ATTRIBUTE Ability2 STRING
@ATTRIBUTE Ability3 STRING
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10,11,12}
@ATTRIBUTE HP REAL 
@ATTRIBUTE Atk REAL
@ATTRIBUTE Def REAL 
@ATTRIBUTE SpA REAL 
@ATTRIBUTE SpD REAL
@ATTRIBUTE Spe REAL 

@DATA
124,2,12,Blaze,Solar-Power,N,6,78,84,78,109,85,100
125,15,2,Tough-Claws,N,N,7,78,130,111,130,85,100
126,2,12,Drought,N,N,7,78,104,78,159,115,100
127,4,7,Battery,N,N,12,57,82,95,55,75,36
128,2,2,Blaze,Solar-Power,N,4,39,52,43,60,50,65
129,2,2,Blaze,Solar-Power,N,12,58,64,58,80,65,80
130,12,5,Big-Pecks,Tangled-Feet,Keen-Eye,8,76,65,45,92,42,91
131,1,1,Flower-Gift,N,N,8,70,60,70,87,78,85
132,1,1,Chlorophyll,N,N,4,45,35,45,62,53,35
133,9,1,Bulletproof,Overgrow,N,9,88,107,122,74,75,64
134,1,1,Bulletproof,Overgrow,N,4,56,61,65,48,45,38
135,1,1,Leaf-Guard,Overgrow,N,4,45,49,65,49,65,45
136,2,2,Blaze,Iron-Fist,N,4,44,58,44,58,44,61
137,10,10,Levitate,N,N,8,75,50,80,95,90,65
138,7,3,Illuminate,Water-Absorb,Volt-Absorb,4,75,38,38,56,56,67
139,10,10,Levitate,N,N,4,45,30,50,65,50,45
140,5,5,Cute-Charm,Technician,Skill-Link,9,75,95,60,65,60,115
141,3,3,Rattled,Shell-Armor,N,4,35,64,85,74,55,32
142,3,3,Mega-Launcher,N,N,4,50,53,62,58,63,44
143,3,3,Mega-Launcher,N,N,9,71,73,88,120,89,59
144,8,10,Levitate,N,N,6,60,70,105,70,120,75
145,18,18,Cute-Charm,Unaware,Magic-Guard,11,95,70,73,95,90,60
146,18,18,Cute-Charm,Magic-Guard,Friend-Guard,12,70,45,48,60,65,35
147,18,18,Cute-Charm,Magic-Guard,Friend-Guard,4,50,25,28,45,55,15
148,14,3,Overcoat,Skill-Link,Shell-Armor,9,50,95,180,85,45,70
149,9,16,Justified,N,N,11,91,90,129,90,72,108
150,13,13,Mummy,N,N,9,58,50,145,95,105,30
151,4,12,Honey-Gather,Hustle,N,4,30,30,42,30,42,70
152,9,2,Blaze,Speed-Boost,N,12,60,85,60,85,60,55
153,18,18,Flower-Veil,Triage,Natural-Cure,9,51,52,90,82,110,100
154,9,9,Guts,Sheer-Force,Iron-Fist,11,105,140,95,55,65,45
155,3,3,Adaptability,Shell-Armor,Hyper-Cutter,4,43,80,65,50,35,35
156,11,3,Hustle,Regenerator,Natural-Cure,8,65,55,95,65,95,35
157,10,10,Sturdy,N,N,12,43,29,131,29,131,37
158,10,10,Unaware,N,N,4,43,29,31,29,31,37
159,18,1,Chlorophyll,Prankster,Infiltrator,4,40,27,60,37,50,66
160,9,14,Anger-Point,Iron-Fist,Hyper-Cutter,9,97,132,77,62,67,43
161,9,9,Anger-Point,Iron-Fist,Hyper-Cutter,4,47,82,57,42,47,63
162,1,11,Storm-Drain,Suction-Cups,N,6,86,81,97,81,107,43
163,11,11,Mold-Breaker,Sheer-Force,N,4,67,125,40,30,30,58
164,17,3,Adaptability,Shell-Armor,Hyper-Cutter,3,63,120,85,90,55,55
165,10,10,Levitate,N,N,9,120,70,120,75,130,85
166,9,6,Anticipation,Poison-Touch,Dry-Skin,4,48,61,40,61,40,50
167,12,6,Infiltrator,Inner-Focus,N,11,85,90,80,70,80,130
168,3,3,Sheer-Force,Torrent,N,12,65,80,80,59,63,58
169,4,11,Shell-Armor,Weak-Armor,Sturdy,8,70,105,125,65,75,45
170,14,14,Levitate,N,N,8,80,50,50,95,135,105
171,14,14,Rattled,Snow-Cloak,Slush-Rush,4,55,70,40,60,40,40
172,8,8,Battle-Armor,Rock-Head,Lightning-Rod,4,50,50,95,40,50,35
173,4,18,Honey-Gather,Sweet-Veil,Shield-Dust,12,40,45,40,55,40,84
174,2,2,Blaze,Flash-Fire,N,4,39,52,43,60,50,65
175,17,17,Bad-Dreams,N,N,10,70,90,90,135,90,125
176,2,2,Sheer-Force,Zen-Mode,N,11,105,140,55,30,55,95
177,2,10,Zen-Mode,N,N,11,105,30,105,140,105,55
178,12,1,Long-Reach,Overgrow,N,12,78,75,75,70,70,52
179,2,2,Hustle,Inner-Focus,N,4,70,90,45,15,45,50
180,13,1,Long-Reach,Overgrow,N,11,78,107,75,100,100,70
181,7,18,Cheek-Pouch,Plus,Pickup,8,67,58,57,81,67,101
182,1,5,Chlorophyll,Serene-Grace,Sap-Sipper,4,60,60,50,40,50,75
183,17,15,Hustle,N,N,4,52,65,50,45,50,38
184,5,5,Cute-Charm,Wonder-Skin,Normalize,8,70,65,65,55,55,90
185,12,14,Hustle,Vital-Spirit,Insomnia,8,45,55,45,65,45,75
186,2,10,Blaze,Magician,N,9,75,69,72,114,100,104
187,10,10,Pressure,N,N,10,50,150,50,150,50,150
188,10,10,Pressure,N,N,10,50,180,20,180,20,150
189,10,10,Pressure,N,N,10,50,70,160,70,160,90
190,10,10,Pressure,N,N,10,50,95,90,95,90,180
191,14,3,Hydration,Thick-Fat,Ice-Body,8,90,70,80,70,95,70
192,3,3,Shell-Armor,Torrent,N,12,75,75,60,83,60,60
193,4,3,Water-Absorb,Water-Bubble,N,4,38,40,52,40,72,27
194,13,1,Steelworker,N,N,9,70,131,100,86,90,40
195,15,16,Pressure,Telepathy,N,10,100,120,120,150,100,90
196,18,11,Clear-Body,N,N,9,50,100,150,100,150,50
197,18,11,Magic-Bounce,N,N,5,50,160,110,160,110,110
198,8,5,Cheek-Pouch,Pickup,Huge-Power,2,85,56,77,50,77,78
199,8,8,Arena-Trap,Sand-Veil,Sand-Force,4,10,55,25,35,45,95
200,8,16,Sand-Force,Tangling-Hair,Sand-Veil,4,10,55,30,35,45,90
201,5,5,Imposter,Limber,N,8,48,48,48,48,48,48
202,12,5,Early-Bird,Tangled-Feet,Run-Away,6,60,110,70,60,60,110
203,12,5,Early-Bird,Tangled-Feet,Run-Away,4,35,85,45,35,35,75
204,8,8,Sand-Veil,Sturdy,N,9,90,120,120,60,60,50
205,13,16,No-Guard,N,N,9,59,110,150,45,49,35
206,15,6,Adaptability,Poison-Touch,Poison-Point,9,65,75,90,97,123,44
207,15,15,Marvel-Scale,Shed-Skin,N,12,61,84,65,70,70,70
208,15,12,Inner-Focus,Multiscale,N,2,91,134,95,100,100,80
209,15,5,Berserk,Sap-Sipper,Cloud-Nine,9,78,60,85,135,91,36
210,17,6,Battle-Armor,Sniper,Keen-Eye,9,70,90,110,60,75,95
211,15,15,Marvel-Scale,Shed-Skin,N,4,41,64,45,50,50,50
212,12,13,Aftermath,Unburden,Flare-Boost,8,150,80,44,90,54,80
213,12,13,Aftermath,Unburden,Flare-Boost,12,90,50,34,60,44,70
214,8,8,Mold-Breaker,Sand-Rush,Sand-Force,4,60,85,40,30,45,68
215,10,10,Forewarn,Insomnia,Inner-Focus,4,60,48,45,43,90,42
216,15,15,Mold-Breaker,Sheer-Force,Rough-Skin,9,77,120,90,60,90,48
217,12,3,Big-Pecks,Keen-Eye,Hydration,4,62,44,50,44,50,55
218,8,8,Arena-Trap,Sand-Veil,Sand-Force,7,35,100,50,50,70,120
219,8,16,Sand-Force,Tangling-Hair,Sand-Veil,9,35,100,60,50,70,110
220,5,5,Rattled,Serene-Grace,Run-Away,8,100,70,70,65,65,45
221,10,10,Magic-Guard,Regenerator,Overcoat,12,65,40,50,125,60,30
222,4,16,Hustle,Truant,Swarm,9,58,109,112,48,48,109
223,13,13,Frisk,Pressure,N,12,40,70,130,60,130,25
224,13,13,Frisk,Pressure,N,8,45,100,135,65,135,45
225,13,13,Frisk,Levitate,N,4,20,40,90,30,90,25
226,4,6,Compound-Eyes,Shield-Dust,N,8,60,50,70,50,90,65
227,4,11,Shell-Armor,Weak-Armor,Sturdy,4,50,65,85,35,35,55
228,7,7,Levitate,N,N,12,65,85,70,75,70,40
229,7,7,Levitate,N,N,9,85,115,80,105,80,50
230,5,5,Adaptability,Run-Away,Anticipation,4,55,55,50,45,65,55
231,6,6,Intimidate,Unnerve,Shed-Skin,4,35,60,44,40,54,55
232,7,7,Static,Vital-Spirit,N,12,65,83,57,95,85,105
233,7,7,Motor-Drive,Vital-Spirit,N,6,75,123,67,95,85,95
234,7,7,Lightning-Rod,Static,Minus,4,40,45,40,65,40,65
235,7,7,Aftermath,Static,Soundproof,8,60,50,70,80,80,150
236,7,7,Static,Vital-Spirit,N,4,45,63,37,65,55,95
237,10,10,Analytic,Telepathy,Synchronize,4,55,55,55,85,55,30
238,9,2,Blaze,Reckless,N,9,110,123,65,100,65,65
239,7,12,Motor-Drive,Static,N,8,55,75,60,75,60,103
240,16,3,Defiant,Torrent,N,11,84,86,88,111,101,60
241,2,2,Pressure,N,N,11,115,115,85,90,75,100
242,4,16,Overcoat,Swarm,Shell-Armor,9,70,135,105,60,105,20
243,10,10,Magic-Bounce,Synchronize,N,9,65,65,60,130,95,110
244,10,10,Infiltrator,Own-Tempo,Keen-Eye,4,62,48,54,63,60,68
245,8,16,Mold-Breaker,Sand-Rush,Sand-Force,7,110,135,60,50,65,88
246,1,10,Chlorophyll,Harvest,N,4,60,40,80,60,45,40
247,1,10,Chlorophyll,Harvest,N,8,95,95,85,125,75,55
248,15,1,Frisk,Harvest,N,9,95,105,85,125,75,45
249,5,5,Scrappy,Soundproof,N,9,104,91,63,91,73,68
250,12,5,Defiant,Keen-Eye,Inner-Focus,8,52,90,55,58,62,60
251,12,5,Keen-Eye,Sniper,N,8,65,90,65,61,61,100
252,3,3,Adaptability,Swift-Swim,Oblivious,4,20,15,20,10,55,80
253,2,2,Blaze,Magician,N,4,40,45,40,62,60,60
254,3,3,Sheer-Force,Torrent,N,3,85,105,100,79,83,78
255,1,16,Iron-Barbs,N,N,4,44,50,91,24,86,10
256,1,16,Anticipation,Iron-Barbs,N,7,74,94,131,54,116,20
257,3,3,Storm-Drain,Water-Veil,Swift-Swim,4,49,49,56,49,61,66
258,7,7,Plus,Static,N,12,70,55,55,80,60,45
259,18,18,Flower-Veil,Symbiosis,N,4,44,38,39,61,79,42
260,2,2,Flash-Fire,Guts,N,8,65,130,60,95,110,65
261,2,12,Flame-Body,Gale-Wings,N,12,62,73,55,56,52,84
262,12,5,Big-Pecks,Gale-Wings,N,4,45,50,43,40,38,62
263,3,3,Swift-Swim,Water-Veil,N,8,85,105,55,85,50,115
264,18,18,Flower-Veil,Symbiosis,N,12,54,45,47,75,98,52
265,18,18,Flower-Veil,Symbiosis,N,5,74,65,67,125,128,92
266,18,18,Flower-Veil,Symbiosis,N,9,78,65,68,112,154,75
267,15,8,Levitate,N,N,9,80,100,80,80,80,100
268,1,1,Contrary,Leaf-Guard,N,4,40,55,35,50,35,35
269,1,6,Effect-Spore,Regenerator,N,4,69,55,45,55,55,15
270,4,16,Overcoat,Sturdy,N,11,75,90,140,60,60,40
271,15,15,Mold-Breaker,Unnerve,Rivalry,12,66,117,70,40,50,67
272,13,3,Cursed-Body,Water-Absorb,Damp,4,55,40,50,65,85,40
273,3,3,Protean,Torrent,N,4,41,56,41,62,44,71
274,3,3,Protean,Torrent,N,12,54,63,52,83,56,97
275,13,14,Cursed-Body,Snow-Cloak,N,9,70,80,70,80,70,110
276,5,5,Fur-Coat,N,N,8,75,80,60,65,90,102
277,5,5,Frisk,Run-Away,Keen-Eye,8,85,76,64,45,55,90
278,15,8,Rough-Skin,Sand-Veil,N,12,68,90,65,50,55,82
279,9,10,Justified,Steadfast,N,9,68,125,65,65,115,80
280,9,10,Inner-Focus,N,N,5,68,165,95,65,115,110
281,4,7,Compound-Eyes,Unnerve,Swarm,9,70,77,60,97,60,108
282,6,6,Aftermath,Weak-Armor,Stench,6,80,95,82,60,82,75
283,15,8,Rough-Skin,Sand-Veil,N,7,108,130,95,80,85,102
284,15,8,Sand-Force,N,N,7,108,170,115,120,95,92
285,18,10,Synchronize,Trace,Telepathy,9,68,65,65,125,115,80
286,18,10,Pixilate,N,N,5,68,85,65,165,135,100
287,13,6,Levitate,N,N,4,30,35,30,100,35,80
288,8,3,Sand-Force,Storm-Drain,Sticky-Hold,6,111,83,68,92,82,39
289,4,16,Download,N,N,10,71,120,95,120,95,99
290,13,6,Cursed-Body,N,N,11,60,65,60,130,75,110
291,13,6,Shadow-Tag,N,N,10,60,65,80,170,95,130
292,8,11,Rock-Head,Sturdy,Sand-Veil,4,40,80,100,30,30,20
293,7,11,Galvanize,Sturdy,Magnet-Pull,4,40,80,100,30,30,20
294,15,8,Rough-Skin,Sand-Veil,N,4,58,70,45,40,45,42
295,11,11,Sand-Force,Sturdy,Sand-Stream,9,85,135,130,60,80,25
296,5,10,Early-Bird,Sap-Sipper,Inner-Focus,8,70,80,65,90,65,85
297,15,13,Pressure,Telepathy,N,10,150,100,120,100,120,90
298,15,13,Levitate,N,N,10,150,120,100,120,100,90
299,14,14,Ice-Body,Snow-Cloak,N,8,65,60,110,130,95,65
300,14,14,Ice-Body,Moody,Inner-Focus,8,80,80,80,80,80,80
301,14,14,Refrigerate,N,N,9,80,120,80,120,80,100
302,5,5,Keen-Eye,Own-Tempo,Limber,4,49,55,42,42,37,85
303,12,8,Hyper-Cutter,Sand-Veil,Immunity,9,65,75,105,35,65,85
304,12,8,Hyper-Cutter,Sand-Veil,Poison-Heal,11,75,95,125,45,75,95
305,1,6,Chlorophyll,Stench,N,12,60,65,70,85,75,40
306,1,1,Grass-Pelt,Sap-Sipper,N,8,123,100,62,97,81,68
307,12,6,Infiltrator,Inner-Focus,N,12,75,80,70,65,75,90
308,3,3,Lightning-Rod,Water-Veil,Swift-Swim,4,45,67,60,35,50,63
309,3,3,Cloud-Nine,Swift-Swim,Damp,8,80,82,78,95,80,85
310,8,11,Rock-Head,Sturdy,Sand-Veil,8,80,120,130,55,65,45
311,7,11,Galvanize,Sturdy,Magnet-Pull,9,80,120,130,55,65,45
312,13,8,Iron-Fist,No-Guard,Klutz,4,59,74,50,35,50,35
313,4,3,Emergency-Exit,N,N,9,75,125,140,60,90,40
314,13,8,Iron-Fist,No-Guard,Klutz,6,89,124,80,55,80,55
315,15,15,Gooey,Sap-Sipper,Hydration,9,90,100,70,110,150,80
316,15,15,Gooey,Sap-Sipper,Hydration,4,45,50,35,55,75,40
317,3,3,Hydration,Swift-Swim,N,8,55,84,105,114,75,52
318,10,10,Competitive,Shadow-Tag,Frisk,12,45,30,50,55,65,45
319,10,10,Competitive,Shadow-Tag,Frisk,8,70,55,95,95,110,65
320,10,10,Competitive,Shadow-Tag,Frisk,12,60,45,70,75,85,55
321,13,1,Frisk,Pickup,Insomnia,8,65,90,122,58,75,84
322,13,1,Frisk,Pickup,Insomnia,8,75,95,122,58,75,69
323,13,1,Frisk,Pickup,Insomnia,8,55,85,122,58,75,99
324,13,1,Frisk,Pickup,Insomnia,8,85,100,122,58,75,54
325,18,18,Intimidate,Rattled,Quick-Feet,9,90,120,75,60,60,45
326,8,11,Rock-Head,Sturdy,Sand-Veil,12,55,95,115,45,45,35
327,7,11,Galvanize,Sturdy,Magnet-Pull,12,55,95,115,45,45,35
328,17,3,Battle-Bond,Torrent,Protean,7,72,95,67,103,71,122
329,17,3,Battle-Bond,N,N,7,72,145,67,153,71,132
330,6,6,Poison-Touch,Sticky-Hold,Stench,4,80,80,50,40,50,25
331,17,6,Gluttony,Power-of-Alchemy,Poison-Touch,4,80,80,50,40,50,25
332,1,1,Overgrow,Shell-Armor,N,12,75,89,85,55,65,36
333,8,8,Drought,N,N,10,100,150,140,100,90,90
334,2,8,Desolate-Land,N,N,10,100,180,160,150,90,90
335,1,1,Overgrow,Unburden,N,12,50,65,45,85,65,95
336,2,2,Flash-Fire,Justified,Intimidate,4,55,70,45,70,50,60
337,4,4,Swarm,N,N,4,47,62,45,55,45,46
338,10,10,Gluttony,Thick-Fat,Own-Tempo,8,80,45,65,90,110,80
339,6,6,Gluttony,Sticky-Hold,Liquid-Ooze,4,70,43,53,43,53,40
340,5,5,Adaptability,Strong-Jaw,Stakeout,9,88,110,60,55,60,45
341,9,9,Guts,Sheer-Force,Iron-Fist,12,85,105,85,40,50,40
342,17,15,Beast-Boost,N,N,9,223,101,53,97,53,43
343,12,3,Intimidate,Moxie,N,2,95,125,79,60,100,81
344,17,3,Mold-Breaker,N,N,7,95,155,109,70,130,81
345,15,9,Bulletproof,Soundproof,Overcoat,12,55,75,90,65,70,65
346,5,5,Friend-Guard,Serene-Grace,Natural-Cure,4,100,5,5,15,65,30
347,9,9,Guts,Thick-Fat,Sheer-Force,6,144,120,60,40,60,50
348,13,6,Levitate,N,N,12,45,50,45,115,55,95
349,9,12,Limber,Unburden,Mold-Breaker,3,78,92,77,74,63,118
350,15,15,Mold-Breaker,Unnerve,Rivalry,11,76,147,90,60,70,97
351,2,2,Flash-Fire,White-Smoke,Gluttony,8,85,97,66,105,66,65
352,2,16,Flash-Fire,N,N,7,91,90,106,130,106,77
353,7,5,Dry-Skin,Solar-Power,Sand-Veil,9,62,55,52,109,94,109
354,7,5,Dry-Skin,Solar-Power,Sand-Veil,4,44,38,33,61,43,70
355,4,9,Guts,Swarm,Moxie,9,80,125,75,40,95,85
356,4,9,Skill-Link,N,N,5,80,185,115,40,105,75
357,5,5,Intimidate,Scrappy,Sand-Rush,12,65,80,65,35,65,60
358,8,8,Sand-Force,Sand-Stream,N,4,68,72,78,38,42,32
359,8,8,Sand-Force,Sand-Stream,N,11,108,112,118,68,72,47
360,9,9,Inner-Focus,Keen-Eye,Iron-Fist,6,50,105,79,35,110,76
361,9,9,Limber,Unburden,Reckless,9,50,120,53,35,110,87
362,9,9,Intimidate,Technician,Steadfast,9,50,95,95,35,110,70
363,2,12,Pressure,Regenerator,N,10,106,130,90,110,154,90
364,17,12,Insomnia,Super-Luck,Moxie,9,100,125,52,105,52,71
365,13,16,No-Guard,N,N,4,45,80,100,35,37,28
366,13,10,Magician,N,N,9,80,110,60,150,130,70
367,17,10,Magician,N,N,7,80,160,60,170,130,80
368,12,5,Insomnia,Tinted-Lens,Keen-Eye,4,60,30,30,36,56,50
369,12,1,Chlorophyll,Leaf-Guard,Infiltrator,4,35,35,40,35,55,50
370,3,3,Damp,Swift-Swim,Sniper,4,30,40,70,70,25,60
