@RELATION pokemon

@ATTRIBUTE Pokemon STRING
@ATTRIBUTE Tipo1 NUMERIC {1 - 18}
@ATTRIBUTE Tipo2 NUMERIC {1 - 18}
@ATTRIBUTE Ability1 STRING
@ATTRIBUTE Ability2 STRING
@ATTRIBUTE Ability3 STRING
@ATTRIBUTE class NUMERIC {1 - 12}
@ATTRIBUTE HP NUMERIC {1 - 255}
@ATTRIBUTE Atk NUMERIC {5 - 190}
@ATTRIBUTE Def NUMERIC {5 - 230}
@ATTRIBUTE SpA NUMERIC {10 - 194}
@ATTRIBUTE SpD NUMERIC {20 - 230}
@ATTRIBUTE Spe NUMERIC {5 - 180}

@DATA
Banette,13,13,Cursed-Body,Insomnia,Frisk,8,64,115,65,83,63,65
Banette-Mega,13,13,Prankster,N,N,5,64,165,75,93,83,75
Barbaracle,11,3,Pickpocket,Tough-Claws,Sniper,6,72,105,115,54,86,68
Barboach,8,3,Anticipation,Oblivious,Hydration,4,50,48,43,46,41,60
Basculin-Red-Striped-Form,3,3,Adaptability,Reckless,Mold-Breaker,8,70,92,65,80,55,98
Basculin-Blue-Striped-Form,3,3,Adaptability,Rock-Head,Mold-Breaker,8,70,92,65,80,55,98
Bayleef,1,1,Leaf-Guard,Overgrow,N,12,60,62,80,63,80,60
Beartic,14,14,Slush-Rush,Swift-Swim,Snow-Cloak,8,95,130,80,70,80,50
Beautifly,4,12,Rivalry,Swarm,N,8,60,70,50,100,50,65
Beedrill,4,6,Sniper,Swarm,N,8,65,90,40,45,80,75
Beedrill-Mega,4,6,Adaptability,N,N,7,65,150,40,15,80,145
Beheeyem,10,10,Analytic,Telepathy,Synchronize,8,75,75,75,125,95,40
Beldum,10,16,Clear-Body,Light-Metal,N,4,40,55,80,35,60,30
Bellossom,1,1,Chlorophyll,Healer,N,8,75,80,95,90,100,50
Bellsprout,1,6,Chlorophyll,Gluttony,N,4,50,75,35,70,30,40
Bergmite,14,14,Ice-Body,Sturdy,Own-Tempo,4,56,69,86,32,36,28
Bewear,9,5,Fluffy,Unnerve,Klutz,3,120,125,80,55,60,60
Bibarel,5,3,Moody,Unaware,Simple,8,79,85,60,55,60,71
Bidoof,5,5,Moody,Unaware,Simple,4,59,45,40,35,40,31
Binacle,11,3,Pickpocket,Tough-Claws,Sniper,4,42,52,67,39,56,50
Bisharp,17,16,Defiant,Pressure,Inner-Focus,11,65,125,100,60,70,70
Blastoise,3,3,Rain-Dish,Torrent,N,9,79,83,100,85,105,78
Blastoise-Mega,3,3,Mega-Launcher,N,N,11,79,103,120,135,115,78
Blaziken,9,2,Blaze,Speed-Boost,N,10,80,120,70,110,70,80
Blaziken-Mega,9,2,Speed-Boost,N,N,5,80,160,80,130,80,100
Blissey,5,5,Healer,Serene-Grace,Natural-Cure,11,255,10,10,75,135,55
Blitzle,7,7,Lightning-Rod,Sap-Sipper,Motor-Drive,4,45,60,32,50,32,76
Boldore,11,11,Sand-Force,Weak-Armor,Sturdy,12,70,105,105,50,40,20
Bonsly,11,11,Rattled,Sturdy,Rock-Head,4,50,80,95,10,45,10
Bouffalant,5,5,Reckless,Soundproof,Sap-Sipper,8,95,110,95,40,95,55
Bounsweet,1,1,Leaf-Guard,Sweet-Veil,Oblivious,4,42,30,38,30,38,32
Braixen,2,2,Blaze,Magician,N,12,59,59,58,90,70,73
Braviary,12,5,Defiant,Sheer-Force,Keen-Eye,9,100,123,75,57,75,80
Breloom,9,1,Effect-Spore,Technician,Poison-Heal,2,60,130,80,60,60,70
Brionne,3,3,Liquid-Voice,Torrent,N,12,60,69,69,91,81,50
Bronzong,10,16,Heatproof,Levitate,Heavy-Metal,9,67,89,116,79,116,33
Bronzor,10,16,Heatproof,Levitate,Heavy-Metal,4,57,24,86,24,86,23
Bruxish,10,3,Dazzling,Wonder-Skin,Strong-Jaw,9,68,105,70,70,70,92
Budew,1,6,Leaf-Guard,Poison-Point,Natural-Cure,4,40,30,35,50,70,55
Buizel,3,3,Swift-Swim,Water-Veil,N,4,55,65,35,60,30,85
Bulbasaur,1,6,Chlorophyll,Overgrow,N,4,45,49,49,65,65,45
Buneary,5,5,Klutz,Run-Away,Limber,4,55,66,44,44,56,85
Bunnelby,5,5,Cheek-Pouch,Pickup,Huge-Power,4,38,36,38,32,36,57
Burmy,4,4,Overcoat,Shed-Skin,N,4,40,29,45,29,45,36
Butterfree,4,12,Compound-Eyes,Tinted-Lens,N,8,60,45,50,90,80,70
Buzzwole,4,9,Beast-Boost,N,N,7,107,139,139,53,53,79
Cacnea,1,1,Sand-Veil,Water-Absorb,N,4,50,85,40,85,40,35
Cacturne,17,1,Sand-Veil,Water-Absorb,N,8,70,115,60,115,60,55
Camerupt,2,8,Anger-Point,Solid-Rock,Magma-Armor,8,70,100,70,105,75,40
Camerupt-Mega,2,8,Sheer-Force,N,N,5,70,120,100,145,105,20
Carbink,18,11,Clear-Body,Sturdy,N,8,50,50,150,50,150,50
Carnivine,1,1,Levitate,N,N,8,74,100,72,90,72,46
Carracosta,11,3,Solid-Rock,Swift-Swim,Sturdy,8,74,108,133,83,65,32
Carvanha,17,3,Rough-Skin,Speed-Boost,N,4,45,90,20,65,20,65
Cascoon,4,4,Shed-Skin,N,N,12,50,35,55,25,25,15
Castform,5,5,Forecast,N,N,8,70,70,70,70,70,70
Caterpie,4,4,Run-Away,Shield-Dust,N,4,45,30,35,20,20,45
Celebi,1,10,Natural-Cure,N,N,11,100,100,100,100,100,100
Celesteela,12,16,Beast-Boost,N,N,7,97,101,103,107,101,61
Chandelure,2,13,Flame-Body,Infiltrator,Flash-Fire,11,60,55,90,145,90,80
Chansey,5,5,Healer,Serene-Grace,Natural-Cure,7,250,5,5,35,105,50
Charizard,2,12,Blaze,Solar-Power,N,6,78,84,78,109,85,100
Charizard-Mega-X,15,2,Tough-Claws,N,N,7,78,130,111,130,85,100
Charizard-Mega-Y,2,12,Drought,N,N,7,78,104,78,159,115,100
Charjabug,4,7,Battery,N,N,12,57,82,95,55,75,36
Charmander,2,2,Blaze,Solar-Power,N,4,39,52,43,60,50,65
Charmeleon,2,2,Blaze,Solar-Power,N,12,58,64,58,80,65,80
Chatot,12,5,Big-Pecks,Tangled-Feet,Keen-Eye,8,76,65,45,92,42,91
Cherrim,1,1,Flower-Gift,N,N,8,70,60,70,87,78,85
Cherubi,1,1,Chlorophyll,N,N,4,45,35,45,62,53,35
Chesnaught,9,1,Bulletproof,Overgrow,N,9,88,107,122,74,75,64
Chespin,1,1,Bulletproof,Overgrow,N,4,56,61,65,48,45,38
Chikorita,1,1,Leaf-Guard,Overgrow,N,4,45,49,65,49,65,45
Chimchar,2,2,Blaze,Iron-Fist,N,4,44,58,44,58,44,61
Chimecho,10,10,Levitate,N,N,8,75,50,80,95,90,65
Chinchou,7,3,Illuminate,Water-Absorb,Volt-Absorb,4,75,38,38,56,56,67
Chingling,10,10,Levitate,N,N,4,45,30,50,65,50,45
Cinccino,5,5,Cute-Charm,Technician,Skill-Link,9,75,95,60,65,60,115
Clamperl,3,3,Rattled,Shell-Armor,N,4,35,64,85,74,55,32
Clauncher,3,3,Mega-Launcher,N,N,4,50,53,62,58,63,44
Clawitzer,3,3,Mega-Launcher,N,N,9,71,73,88,120,89,59
Claydol,8,10,Levitate,N,N,6,60,70,105,70,120,75
Clefable,18,18,Cute-Charm,Unaware,Magic-Guard,11,95,70,73,95,90,60
Clefairy,18,18,Cute-Charm,Magic-Guard,Friend-Guard,12,70,45,48,60,65,35
Cleffa,18,18,Cute-Charm,Magic-Guard,Friend-Guard,4,50,25,28,45,55,15
Cloyster,14,3,Overcoat,Skill-Link,Shell-Armor,9,50,95,180,85,45,70
Cobalion,9,16,Justified,N,N,11,91,90,129,90,72,108
Cofagrigus,13,13,Mummy,N,N,9,58,50,145,95,105,30
Combee,4,12,Honey-Gather,Hustle,N,4,30,30,42,30,42,70
Combusken,9,2,Blaze,Speed-Boost,N,12,60,85,60,85,60,55
Comfey,18,18,Flower-Veil,Triage,Natural-Cure,9,51,52,90,82,110,100
Conkeldurr,9,9,Guts,Sheer-Force,Iron-Fist,11,105,140,95,55,65,45
Corphish,3,3,Adaptability,Shell-Armor,Hyper-Cutter,4,43,80,65,50,35,35
Corsola,11,3,Hustle,Regenerator,Natural-Cure,8,65,55,95,65,95,35
Cosmoem,10,10,Sturdy,N,N,12,43,29,131,29,131,37
Cosmog,10,10,Unaware,N,N,4,43,29,31,29,31,37
Cottonee,18,1,Chlorophyll,Prankster,Infiltrator,4,40,27,60,37,50,66
Crabominable,9,14,Anger-Point,Iron-Fist,Hyper-Cutter,9,97,132,77,62,67,43
Crabrawler,9,9,Anger-Point,Iron-Fist,Hyper-Cutter,4,47,82,57,42,47,63
Cradily,1,11,Storm-Drain,Suction-Cups,N,6,86,81,97,81,107,43
Cranidos,11,11,Mold-Breaker,Sheer-Force,N,4,67,125,40,30,30,58
Crawdaunt,17,3,Adaptability,Shell-Armor,Hyper-Cutter,3,63,120,85,90,55,55
Cresselia,10,10,Levitate,N,N,9,120,70,120,75,130,85
Croagunk,9,6,Anticipation,Poison-Touch,Dry-Skin,4,48,61,40,61,40,50
Crobat,12,6,Infiltrator,Inner-Focus,N,11,85,90,80,70,80,130
Croconaw,3,3,Sheer-Force,Torrent,N,12,65,80,80,59,63,58
Crustle,4,11,Shell-Armor,Weak-Armor,Sturdy,8,70,105,125,65,75,45
Cryogonal,14,14,Levitate,N,N,8,80,50,50,95,135,105
Cubchoo,14,14,Rattled,Snow-Cloak,Slush-Rush,4,55,70,40,60,40,40
Cubone,8,8,Battle-Armor,Rock-Head,Lightning-Rod,4,50,50,95,40,50,35
Cutiefly,4,18,Honey-Gather,Sweet-Veil,Shield-Dust,12,40,45,40,55,40,84
Cyndaquil,2,2,Blaze,Flash-Fire,N,4,39,52,43,60,50,65
Darkrai,17,17,Bad-Dreams,N,N,10,70,90,90,135,90,125
Darmanitan,2,2,Sheer-Force,Zen-Mode,N,11,105,140,55,30,55,95
Darmanitan-Zen,2,10,Zen-Mode,N,N,11,105,30,105,140,105,55
Dartrix,12,1,Long-Reach,Overgrow,N,12,78,75,75,70,70,52
Darumaka,2,2,Hustle,Inner-Focus,N,4,70,90,45,15,45,50
Decidueye,13,1,Long-Reach,Overgrow,N,11,78,107,75,100,100,70
Dedenne,7,18,Cheek-Pouch,Plus,Pickup,8,67,58,57,81,67,101
Deerling,1,5,Chlorophyll,Serene-Grace,Sap-Sipper,4,60,60,50,40,50,75
Deino,17,15,Hustle,N,N,4,52,65,50,45,50,38
Delcatty,5,5,Cute-Charm,Wonder-Skin,Normalize,8,70,65,65,55,55,90
Delibird,12,14,Hustle,Vital-Spirit,Insomnia,8,45,55,45,65,45,75
Delphox,2,10,Blaze,Magician,N,9,75,69,72,114,100,104
Deoxys,10,10,Pressure,N,N,10,50,150,50,150,50,150
Deoxys-Attack,10,10,Pressure,N,N,10,50,180,20,180,20,150
Deoxys-Defense,10,10,Pressure,N,N,10,50,70,160,70,160,90
Deoxys-Speed,10,10,Pressure,N,N,10,50,95,90,95,90,180
Dewgong,14,3,Hydration,Thick-Fat,Ice-Body,8,90,70,80,70,95,70
Dewott,3,3,Shell-Armor,Torrent,N,12,75,75,60,83,60,60
Dewpider,4,3,Water-Absorb,Water-Bubble,N,4,38,40,52,40,72,27
Dhelmise,13,1,Steelworker,N,N,9,70,131,100,86,90,40
Dialga,15,16,Pressure,Telepathy,N,10,100,120,120,150,100,90
Diancie,18,11,Clear-Body,N,N,9,50,100,150,100,150,50
Diancie-Mega,18,11,Magic-Bounce,N,N,5,50,160,110,160,110,110
Diggersby,8,5,Cheek-Pouch,Pickup,Huge-Power,2,85,56,77,50,77,78
Diglett,8,8,Arena-Trap,Sand-Veil,Sand-Force,4,10,55,25,35,45,95
Diglett-Alola,8,16,Sand-Force,Tangling-Hair,Sand-Veil,4,10,55,30,35,45,90
Ditto,5,5,Imposter,Limber,N,8,48,48,48,48,48,48
Dodrio,12,5,Early-Bird,Tangled-Feet,Run-Away,6,60,110,70,60,60,110
Doduo,12,5,Early-Bird,Tangled-Feet,Run-Away,4,35,85,45,35,35,75
Donphan,8,8,Sand-Veil,Sturdy,N,9,90,120,120,60,60,50
Doublade,13,16,No-Guard,N,N,9,59,110,150,45,49,35
Dragalge,15,6,Adaptability,Poison-Touch,Poison-Point,9,65,75,90,97,123,44
Dragonair,15,15,Marvel-Scale,Shed-Skin,N,12,61,84,65,70,70,70
Dragonite,15,12,Inner-Focus,Multiscale,N,2,91,134,95,100,100,80
Drampa,15,5,Berserk,Sap-Sipper,Cloud-Nine,9,78,60,85,135,91,36
Drapion,17,6,Battle-Armor,Sniper,Keen-Eye,9,70,90,110,60,75,95
Dratini,15,15,Marvel-Scale,Shed-Skin,N,4,41,64,45,50,50,50
Drifblim,12,13,Aftermath,Unburden,Flare-Boost,8,150,80,44,90,54,80
Drifloon,12,13,Aftermath,Unburden,Flare-Boost,12,90,50,34,60,44,70
Drilbur,8,8,Mold-Breaker,Sand-Rush,Sand-Force,4,60,85,40,30,45,68
Drowzee,10,10,Forewarn,Insomnia,Inner-Focus,4,60,48,45,43,90,42
Druddigon,15,15,Mold-Breaker,Sheer-Force,Rough-Skin,9,77,120,90,60,90,48
Ducklett,12,3,Big-Pecks,Keen-Eye,Hydration,4,62,44,50,44,50,55
Dugtrio,8,8,Arena-Trap,Sand-Veil,Sand-Force,7,35,100,50,50,70,120
Dugtrio-Alola,8,16,Sand-Force,Tangling-Hair,Sand-Veil,9,35,100,60,50,70,110
Dunsparce,5,5,Rattled,Serene-Grace,Run-Away,8,100,70,70,65,65,45
Duosion,10,10,Magic-Guard,Regenerator,Overcoat,12,65,40,50,125,60,30
Durant,4,16,Hustle,Truant,Swarm,9,58,109,112,48,48,109
Dusclops,13,13,Frisk,Pressure,N,12,40,70,130,60,130,25
Dusknoir,13,13,Frisk,Pressure,N,8,45,100,135,65,135,45
Duskull,13,13,Frisk,Levitate,N,4,20,40,90,30,90,25
Dustox,4,6,Compound-Eyes,Shield-Dust,N,8,60,50,70,50,90,65
Dwebble,4,11,Shell-Armor,Weak-Armor,Sturdy,4,50,65,85,35,35,55
Eelektrik,7,7,Levitate,N,N,12,65,85,70,75,70,40
Eelektross,7,7,Levitate,N,N,9,85,115,80,105,80,50
Eevee,5,5,Adaptability,Run-Away,Anticipation,4,55,55,50,45,65,55
Ekans,6,6,Intimidate,Unnerve,Shed-Skin,4,35,60,44,40,54,55
Electabuzz,7,7,Static,Vital-Spirit,N,12,65,83,57,95,85,105
Electivire,7,7,Motor-Drive,Vital-Spirit,N,6,75,123,67,95,85,95
Electrike,7,7,Lightning-Rod,Static,Minus,4,40,45,40,65,40,65
Electrode,7,7,Aftermath,Static,Soundproof,8,60,50,70,80,80,150
Elekid,7,7,Static,Vital-Spirit,N,4,45,63,37,65,55,95
Elgyem,10,10,Analytic,Telepathy,Synchronize,4,55,55,55,85,55,30
Emboar,9,2,Blaze,Reckless,N,9,110,123,65,100,65,65
Emolga,7,12,Motor-Drive,Static,N,8,55,75,60,75,60,103
Empoleon,16,3,Defiant,Torrent,N,11,84,86,88,111,101,60
Entei,2,2,Pressure,N,N,11,115,115,85,90,75,100
Escavalier,4,16,Overcoat,Swarm,Shell-Armor,9,70,135,105,60,105,20
Espeon,10,10,Magic-Bounce,Synchronize,N,9,65,65,60,130,95,110
Espurr,10,10,Infiltrator,Own-Tempo,Keen-Eye,4,62,48,54,63,60,68
Excadrill,8,16,Mold-Breaker,Sand-Rush,Sand-Force,7,110,135,60,50,65,88
Exeggcute,1,10,Chlorophyll,Harvest,N,4,60,40,80,60,45,40
Exeggutor,1,10,Chlorophyll,Harvest,N,8,95,95,85,125,75,55
Exeggutor-Alola,15,1,Frisk,Harvest,N,9,95,105,85,125,75,45
Exploud,5,5,Scrappy,Soundproof,N,9,104,91,63,91,73,68
Farfetchd,12,5,Defiant,Keen-Eye,Inner-Focus,8,52,90,55,58,62,60
Fearow,12,5,Keen-Eye,Sniper,N,8,65,90,65,61,61,100
Feebas,3,3,Adaptability,Swift-Swim,Oblivious,4,20,15,20,10,55,80
Fennekin,2,2,Blaze,Magician,N,4,40,45,40,62,60,60
Feraligatr,3,3,Sheer-Force,Torrent,N,3,85,105,100,79,83,78
Ferroseed,1,16,Iron-Barbs,N,N,4,44,50,91,24,86,10
Ferrothorn,1,16,Anticipation,Iron-Barbs,N,7,74,94,131,54,116,20
Finneon,3,3,Storm-Drain,Water-Veil,Swift-Swim,4,49,49,56,49,61,66
Flaaffy,7,7,Plus,Static,N,12,70,55,55,80,60,45
Flabebe,18,18,Flower-Veil,Symbiosis,N,4,44,38,39,61,79,42
Flareon,2,2,Flash-Fire,Guts,N,8,65,130,60,95,110,65
Fletchinder,2,12,Flame-Body,Gale-Wings,N,12,62,73,55,56,52,84
Fletchling,12,5,Big-Pecks,Gale-Wings,N,4,45,50,43,40,38,62
Floatzel,3,3,Swift-Swim,Water-Veil,N,8,85,105,55,85,50,115
Floette,18,18,Flower-Veil,Symbiosis,N,12,54,45,47,75,98,52
Floette-Eternal,18,18,Flower-Veil,Symbiosis,N,5,74,65,67,125,128,92
Florges,18,18,Flower-Veil,Symbiosis,N,9,78,65,68,112,154,75
Flygon,15,8,Levitate,N,N,9,80,100,80,80,80,100
Fomantis,1,1,Contrary,Leaf-Guard,N,4,40,55,35,50,35,35
Foongus,1,6,Effect-Spore,Regenerator,N,4,69,55,45,55,55,15
Forretress,4,16,Overcoat,Sturdy,N,11,75,90,140,60,60,40
Fraxure,15,15,Mold-Breaker,Unnerve,Rivalry,12,66,117,70,40,50,67
Frillish,13,3,Cursed-Body,Water-Absorb,Damp,4,55,40,50,65,85,40
Froakie,3,3,Protean,Torrent,N,4,41,56,41,62,44,71
Frogadier,3,3,Protean,Torrent,N,12,54,63,52,83,56,97
Froslass,13,14,Cursed-Body,Snow-Cloak,N,9,70,80,70,80,70,110
Furfrou,5,5,Fur-Coat,N,N,8,75,80,60,65,90,102
Furret,5,5,Frisk,Run-Away,Keen-Eye,8,85,76,64,45,55,90
Gabite,15,8,Rough-Skin,Sand-Veil,N,12,68,90,65,50,55,82
Gallade,9,10,Justified,Steadfast,N,9,68,125,65,65,115,80
Gallade-Mega,9,10,Inner-Focus,N,N,5,68,165,95,65,115,110
Galvantula,4,7,Compound-Eyes,Unnerve,Swarm,9,70,77,60,97,60,108
Garbodor,6,6,Aftermath,Weak-Armor,Stench,6,80,95,82,60,82,75
Garchomp,15,8,Rough-Skin,Sand-Veil,N,7,108,130,95,80,85,102
Garchomp-Mega,15,8,Sand-Force,N,N,7,108,170,115,120,95,92
Gardevoir,18,10,Synchronize,Trace,Telepathy,9,68,65,65,125,115,80
Gardevoir-Mega,18,10,Pixilate,N,N,5,68,85,65,165,135,100
Gastly,13,6,Levitate,N,N,4,30,35,30,100,35,80
Gastrodon,8,3,Sand-Force,Storm-Drain,Sticky-Hold,6,111,83,68,92,82,39
Genesect,4,16,Download,N,N,10,71,120,95,120,95,99
Gengar,13,6,Cursed-Body,N,N,11,60,65,60,130,75,110
Gengar-Mega,13,6,Shadow-Tag,N,N,10,60,65,80,170,95,130
Geodude,8,11,Rock-Head,Sturdy,Sand-Veil,4,40,80,100,30,30,20
Geodude-Alola,7,11,Galvanize,Sturdy,Magnet-Pull,4,40,80,100,30,30,20
Gible,15,8,Rough-Skin,Sand-Veil,N,4,58,70,45,40,45,42
Gigalith,11,11,Sand-Force,Sturdy,Sand-Stream,9,85,135,130,60,80,25
Girafarig,5,10,Early-Bird,Sap-Sipper,Inner-Focus,8,70,80,65,90,65,85
Giratina,15,13,Pressure,Telepathy,N,10,150,100,120,100,120,90
Giratina-Origin,15,13,Levitate,N,N,10,150,120,100,120,100,90
Glaceon,14,14,Ice-Body,Snow-Cloak,N,8,65,60,110,130,95,65
Glalie,14,14,Ice-Body,Moody,Inner-Focus,8,80,80,80,80,80,80
Glalie-Mega,14,14,Refrigerate,N,N,9,80,120,80,120,80,100
Glameow,5,5,Keen-Eye,Own-Tempo,Limber,4,49,55,42,42,37,85
Gligar,12,8,Hyper-Cutter,Sand-Veil,Immunity,9,65,75,105,35,65,85
Gliscor,12,8,Hyper-Cutter,Sand-Veil,Poison-Heal,11,75,95,125,45,75,95
Gloom,1,6,Chlorophyll,Stench,N,12,60,65,70,85,75,40
Gogoat,1,1,Grass-Pelt,Sap-Sipper,N,8,123,100,62,97,81,68
Golbat,12,6,Infiltrator,Inner-Focus,N,12,75,80,70,65,75,90
Goldeen,3,3,Lightning-Rod,Water-Veil,Swift-Swim,4,45,67,60,35,50,63
Golduck,3,3,Cloud-Nine,Swift-Swim,Damp,8,80,82,78,95,80,85
Golem,8,11,Rock-Head,Sturdy,Sand-Veil,8,80,120,130,55,65,45
Golem-Alola,7,11,Galvanize,Sturdy,Magnet-Pull,9,80,120,130,55,65,45
Golett,13,8,Iron-Fist,No-Guard,Klutz,4,59,74,50,35,50,35
Golisopod,4,3,Emergency-Exit,N,N,9,75,125,140,60,90,40
Golurk,13,8,Iron-Fist,No-Guard,Klutz,6,89,124,80,55,80,55
Goodra,15,15,Gooey,Sap-Sipper,Hydration,9,90,100,70,110,150,80
Goomy,15,15,Gooey,Sap-Sipper,Hydration,4,45,50,35,55,75,40
Gorebyss,3,3,Hydration,Swift-Swim,N,8,55,84,105,114,75,52
Gothita,10,10,Competitive,Shadow-Tag,Frisk,12,45,30,50,55,65,45
Gothitelle,10,10,Competitive,Shadow-Tag,Frisk,8,70,55,95,95,110,65
Gothorita,10,10,Competitive,Shadow-Tag,Frisk,12,60,45,70,75,85,55
Gourgeist,13,1,Frisk,Pickup,Insomnia,8,65,90,122,58,75,84
Gourgeist-Large,13,1,Frisk,Pickup,Insomnia,8,75,95,122,58,75,69
Gourgeist-Small,13,1,Frisk,Pickup,Insomnia,8,55,85,122,58,75,99
Gourgeist-Super,13,1,Frisk,Pickup,Insomnia,8,85,100,122,58,75,54
Granbull,18,18,Intimidate,Rattled,Quick-Feet,9,90,120,75,60,60,45
Graveler,8,11,Rock-Head,Sturdy,Sand-Veil,12,55,95,115,45,45,35
Graveler-Alola,7,11,Galvanize,Sturdy,Magnet-Pull,12,55,95,115,45,45,35
Greninja,17,3,Battle-Bond,Torrent,Protean,7,72,95,67,103,71,122
